[INFO ] 2024-07-22 17:13:52.740 [main] Prueba - El fichero C:\GITHUB\DISDEN\TANGO\JAVA\lee\ex1.xls existe
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=659) record at 233
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=2194) record at 234
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=659) record at 235
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=2194) record at 236
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=659) record at 237
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=2194) record at 238
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=659) record at 239
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=2194) record at 240
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 241
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=2194) record at 242
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 243
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=2194) record at 244
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 245
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=2194) record at 246
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 247
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=2194) record at 248
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 249
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=2194) record at 250
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 251
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=2194) record at 252
[TRACE] 2024-07-22 17:13:53.370 [main] InternalWorkbook - found (sid=659) record at 253
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 254
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 255
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 256
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 257
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 258
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 259
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 260
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 261
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 262
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 263
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 264
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 265
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 266
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 267
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 268
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 269
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 270
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 271
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=2194) record at 272
[TRACE] 2024-07-22 17:13:53.371 [main] InternalWorkbook - found (sid=659) record at 273
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 274
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 275
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 276
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 277
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 278
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 279
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 280
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 281
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 282
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 283
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 284
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 285
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 286
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 287
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 288
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 289
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 290
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=659) record at 291
[TRACE] 2024-07-22 17:13:53.372 [main] InternalWorkbook - found (sid=2194) record at 292
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 293
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 294
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=2194) record at 295
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 296
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=2194) record at 297
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 298
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=2194) record at 299
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 300
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=2194) record at 301
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 302
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=2194) record at 303
[TRACE] 2024-07-22 17:13:53.373 [main] InternalWorkbook - found (sid=659) record at 304
[TRACE] 2024-07-22 17:13:53.374 [main] InternalWorkbook - found (sid=2194) record at 305
[TRACE] 2024-07-22 17:13:53.374 [main] InternalWorkbook - found (sid=659) record at 306
